District,Latitude,Longitude
NICOBARS,8.0,93.5
NORTH AND MIDDLE ANDAMAN,12.6112387,92.8316541
SOUTH ANDAMANS,12.50029,92.75004
ANANTAPUR,14.72422,77.4306738
CHITTOOR,13.2026484,79.0032253
EAST GODAVARI,16.9956638,81.7154378
GUNTUR,16.2915189,80.4541588
KADAPA,14.4752936,78.8216861
KRISHNA,16.4082817,77.2914991
KURNOOL,15.8309251,78.0425373
PRAKASAM,15.6642643,79.4733001
SPSR NELLORE,14.7174388,79.6605057
SRIKAKULAM,18.2949307,83.8938844
VISAKHAPATANAM,22.0,79.0
VIZIANAGARAM,18.1139259,83.3979562
WEST GODAVARI,16.6443028,81.5885247
ANJAW,28.1114301,96.8269996
CHANGLANG,27.272007,96.065526
DIBANG VALLEY,28.8291044,95.9554096
EAST KAMENG,27.557781,92.9673843
EAST SIANG,28.0742219,95.4178149
KURUNG KUMEY,27.9863676,93.1578347
LOHIT,28.0350161,96.1713515
LONGDING,26.8794546,95.3155652
LOWER DIBANG VALLEY,28.2149563,95.878774
LOWER SUBANSIRI,27.5326327,93.7823245
NAMSAI,27.7140306,96.0159709
PAPUM PARE,27.2863666,93.6187716
TAWANG,27.6741942,91.9362059
TIRAP,27.030169,95.4979175
UPPER SIANG,28.7312046,95.0377315
UPPER SUBANSIRI,28.2596054,94.0938106
WEST KAMENG,27.3386269,92.4333662
WEST SIANG,28.1970922,94.48407
BAKSA,26.6275689,91.3388551
BARPETA,26.345941,91.039708
BONGAIGAON,26.4800126,90.5580387
CACHAR,24.75864,92.8816648
CHIRANG,26.6464231,90.624157
DARRANG,26.4373481,92.0047145
DHEMAJI,27.5945155,94.7192098
DHUBRI,26.132275,90.1249962
DIBRUGARH,27.4844597,94.9019447
DIMA HASAO,25.4003625,93.0752292
GOALPARA,26.0491877,90.6001859
GOLAGHAT,26.5108262,93.9743686
HAILAKANDI,24.6847623,92.5645005
JORHAT,26.7577925,94.2079645
KAMRUP,26.146886,91.2227397
KAMRUP METRO,26.1161377,91.7973256
KARBI ANGLONG,26.0,93.5
KARIMGANJ,24.5753325,92.375792
KOKRAJHAR,26.4912103,90.1215209
LAKHIMPUR,27.1763356,94.1992932
MARIGAON,26.290712,92.2922184
NAGAON,26.3313646,92.7524763
NALBARI,26.3533631,91.3983662
SIVASAGAR,26.9834936,94.6394226
SONITPUR,26.7677707,92.7014089
TINSUKIA,27.4879722,95.3601855
UDALGURI,26.7047237,92.0421507
ARARIA,26.2651013,87.3699437
ARWAL,25.1812831,84.6596648
AURANGABAD,24.80332,84.4110198
BANKA,24.8328273,86.8161114
BEGUSARAI,25.5125411,86.0883392
BHAGALPUR,25.2861354,87.1304229
BHOJPUR,25.4501182,84.5635193
